epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.62258,0.74622,0.5,1,0.7002,0,0,0
2,5.3541,0.67834,0.5,1,0.72656,1.61199e-05,1.61199e-05,1.61199e-05
3,6.06406,0.83575,0.5,1,0.72852,3.11396e-05,3.11396e-05,3.11396e-05
4,6.84467,0.79034,0.5,1,0.72168,4.5059e-05,4.5059e-05,4.5059e-05
5,7.56818,0.81262,0.5,1,0.70166,5.78782e-05,5.78782e-05,5.78782e-05
6,8.23102,0.87537,0.5,1,0.67871,6.95973e-05,6.95973e-05,6.95973e-05
7,8.76971,0.72375,0.5,1,0.64697,8.0216e-05,8.0216e-05,8.0216e-05
8,9.26726,0.52063,0.5,1,0.60107,8.97346e-05,8.97346e-05,8.97346e-05
9,9.98414,0.70923,0.5,1,0.60107,9.8153e-05,9.8153e-05,9.8153e-05
10,10.9278,0.69519,1,1,0.54443,0.000105471,0.000105471,0.000105471
11,11.7649,0.54523,1,1,0.54443,0.000111689,0.000111689,0.000111689
12,13.0114,0.57379,1,1,0.49292,0.000116807,0.000116807,0.000116807
13,14.2451,0.55164,1,1,0.49292,0.000120824,0.000120824,0.000120824
14,15.568,0.48621,1,1,0.43188,0.000123741,0.000123741,0.000123741
15,16.543,0.39276,1,1,0.43188,0.000125558,0.000125558,0.000125558
16,17.263,0.37769,1,1,0.36523,0.000126275,0.000126275,0.000126275
17,18.1956,0.34637,1,1,0.36523,0.000125892,0.000125892,0.000125892
18,19.005,0.30789,1,1,0.32324,0.000124408,0.000124408,0.000124408
19,19.7062,0.35596,1,1,0.32324,0.000121824,0.000121824,0.000121824
20,20.8393,0.26407,1,1,0.27441,0.00011814,0.00011814,0.00011814
1,1.50399,0.95304,1,1,0.77295,0,0,0
2,3.32469,0.90597,1,1,0.77441,1.38184e-05,1.38184e-05,1.38184e-05
3,3.90395,0.97404,1,1,0.76953,2.66937e-05,2.66937e-05,2.66937e-05
4,4.39385,0.92594,1,1,0.73682,3.86259e-05,3.86259e-05,3.86259e-05
5,4.90128,0.82686,1,1,0.71045,4.96149e-05,4.96149e-05,4.96149e-05
6,5.40242,0.92403,1,1,0.67041,5.96608e-05,5.96608e-05,5.96608e-05
1,1.51071,1.30078,0.75,1,1.11133,0,0,0
2,3.17728,1.26135,0.75,1,1.1084,1.20875e-05,1.20875e-05,1.20875e-05
3,4.28947,1.24402,0.75,1,1.08984,2.335e-05,2.335e-05,2.335e-05
4,6.03828,1.17725,0.75,1,1.06836,3.37875e-05,3.37875e-05,3.37875e-05
